income,debt,credit_score,employment_years,credit_limit,credit_used,default
66041,9518,582,2.0,7400,2018,0
45118,9295,619,0.1,3884,1983,0
72302,3176,590,9.1,2547,2547,0
122249,10259,661,3.0,4470,1672,0
42596,24011,770,7.6,15518,4983,0
42596,4820,573,0.2,4064,4064,0
126441,30908,750,1.0,7799,2837,0
77688,19736,572,1.2,38665,1428,0
36987,7425,565,2.0,9562,6391,0
67883,11930,732,6.5,12579,4674,0
37121,47986,742,2.0,5104,5104,0
37070,24025,735,0.9,45001,3265,0
56680,13454,518,0.3,6776,3889,1
15553,11046,603,0.3,8437,4296,0
17414,14204,732,5.7,24883,5325,0
34983,8871,654,2.4,8715,3452,0
26697,2480,543,5.2,10235,2983,0
59192,68442,696,4.6,8126,930,0
28430,15127,579,0.6,8165,2955,0
21007,18371,829,0.6,12828,9355,0
118112,12755,804,5.6,14575,10564,0
42810,7420,710,5.1,6309,3216,0
51048,11513,786,1.9,5789,5789,0
20851,3716,656,0.3,6461,4789,0
35361,82592,727,0.0,3711,1474,1
52394,4976,798,1.4,3251,1111,0
24573,5851,675,0.0,12186,12186,0
61416,9394,624,1.0,19092,3513,0
34188,37439,480,2.2,18210,1648,1
41150,13516,642,0.5,1868,643,0
34166,4970,732,0.4,8337,3442,0
148950,36442,745,9.1,4576,4576,0
48625,23976,700,3.5,10945,2623,0
25988,20553,596,10.9,7387,1905,0
80300,23685,452,1.7,14978,2998,1
23564,90716,600,4.5,9765,9765,1
55566,76732,620,0.9,2625,1403,1
15126,7713,619,3.9,5029,2759,0
22095,48977,712,0.6,9937,9937,1
55167,18152,849,0.0,10542,7668,0
76350,19916,662,10.7,3700,3700,0
54329,3450,628,3.2,3376,2742,0
45735,11657,624,10.5,10295,5052,0
40919,6973,662,1.6,3705,3029,0
20189,25912,567,1.6,3078,2268,1
31828,31472,662,2.0,7247,1859,0
37183,2541,695,4.9,7031,7031,0
92436,13126,671,3.3,5351,4655,0
60245,32777,696,10.4,6047,6047,0
17021,11506,693,0.1,9993,5634,0
59543,23939,473,4.9,5978,5978,1
38908,17693,714,1.6,10399,3908,0
32658,17559,583,0.8,7583,3186,0
70757,10753,540,2.9,11130,2360,0
90999,5048,540,2.8,18302,1377,0
85714,5447,693,0.6,17809,1790,0
29628,23564,628,0.9,24386,3537,0
40720,13569,482,2.1,17796,1161,1
59800,11958,698,2.1,11696,1416,0
88021,9518,506,1.5,7307,7307,1
36772,10466,664,0.6,7544,6013,0
43853,30870,674,0.0,5354,3273,0
25240,10217,739,14.1,9929,9929,0
23915,4569,828,11.5,16126,1115,0
79819,24220,514,2.6,5955,5955,1
110608,11340,645,21.2,9643,4446,0
46948,13700,622,4.5,6160,6160,0
89511,48342,693,0.3,11459,5421,0
60900,13142,672,0.5,6737,911,0
33287,16837,615,9.9,5898,5356,0
60891,5202,606,4.0,6149,6149,0
123355,11207,538,7.4,14077,683,0
47978,21755,749,9.1,9249,9249,0
125340,3850,696,2.4,7333,6503,0
10180,15688,742,0.2,11884,8998,0
80269,14482,619,0.8,7404,1722,0
51649,13808,584,0.3,21776,9150,0
40970,30630,542,0.8,5006,5006,1
51795,17458,686,2.1,8683,6175,0
14875,43585,546,0.5,3702,3702,1
42967,6034,835,0.7,7763,2199,0
60735,14894,519,2.4,3054,3054,1
118983,14294,677,1.7,16688,3100,0
35920,5679,807,2.5,16925,8224,0
30179,28711,710,2.2,17136,2287,0
36277,85797,668,4.1,10099,8170,1
84901,13179,553,11.1,5346,2310,0
59710,20011,512,0.5,5652,3881,1
35673,14294,727,0.4,28886,8556,0
66700,7549,801,7.7,27037,2609,0
51961,3113,606,2.8,10784,8826,0
87657,7596,536,5.8,6898,6898,1
32169,4387,404,1.0,25798,3851,1
40272,52223,552,7.1,6087,6087,1
38744,12184,639,10.3,11617,5271,0
20371,10130,810,4.0,25498,13254,0
58552,27210,717,0.4,5511,5511,0
57333,5446,681,9.0,17685,3955,0
49171,7234,610,6.3,14248,8782,0
42585,14107,592,5.6,9627,2769,0
20969,30425,791,0.1,4937,1940,0
38086,19957,670,6.4,5960,4122,0
39910,16296,440,0.6,12120,1442,1
30292,14221,583,1.0,3654,2114,0
44499,18402,564,3.4,10846,8369,1
62469,15699,595,1.2,14454,3096,0
152012,5861,706,4.3,19725,9316,0
54434,13861,639,3.7,3719,3719,0
57213,5659,642,0.5,24869,24869,0
46879,14255,781,4.3,32427,7879,0
15502,9095,580,10.3,13189,13189,1
